,city,country,latitude,longitude,max_temp,humidity,cloudiness,windspeed,date
80,Trencin,SK,48.8333,18.25,75.61,75,11,3.09,1628878929
81,Bluff,NZ,-46.6,168.3333,42.8,85,72,28.34,1628879197
82,Cayenne,GF,4.9333,-52.3333,79.09,86,75,1.01,1628879197
83,Bāglung,NP,28.2719,83.5898,71.85,95,93,2.01,1628879197
84,Acapulco de Juárez,MX,16.8634,-99.8901,87.62,66,75,6.91,1628879010
85,Hegang,CN,47.4,130.3667,58.53,83,58,2.57,1628879198
86,Carnarvon,AU,-24.8667,113.6333,51.87,65,0,9.22,1628879198
87,Mataura,NZ,-46.1927,168.8643,42.48,97,52,11.43,1628879198
88,Aripuanã,BR,-9.1667,-60.6333,101.34,17,37,2.89,1628879199
89,Grand Gaube,MU,-20.0064,57.6608,68.38,84,12,3.0,1628879199
90,Lorengau,PG,-2.0226,147.2712,81.32,76,88,8.88,1628879199
91,George Town,MY,5.4112,100.3354,78.89,93,20,3.44,1628879200
92,Saint Paul Harbor,US,57.79,-152.4072,56.71,54,1,12.66,1628878988
93,Lebu,CL,-37.6167,-73.65,52.3,69,0,6.02,1628879200
94,Buraidah,SA,26.326,43.975,102.65,11,19,11.99,1628879200
95,Okhotsk,RU,59.3833,143.3,54.54,93,12,1.16,1628879201
96,Castro,BR,-24.7911,-50.0119,50.38,98,100,5.97,1628879201
97,San Cristobal,VE,7.7669,-72.225,80.78,54,79,6.24,1628879201
98,Jiangyou,CN,31.7667,104.7167,74.16,85,99,0.89,1628879201
99,Severo-Kuril'sk,RU,50.6789,156.125,52.72,92,7,7.56,1628879202
100,Amahai,ID,-3.3333,128.9167,77.0,88,80,2.93,1628879202
101,Fort Saint James,CA,54.4333,-124.25,81.25,35,0,2.91,1628879202
102,Husavik,IS,66.0449,-17.3389,55.31,77,77,4.85,1628879203
103,Vestmannaeyjar,IS,63.4427,-20.2734,55.74,89,36,6.89,1628879203
104,Dunedin,NZ,-45.8742,170.5036,48.79,46,37,4.0,1628879203
105,Ténenkou,ML,14.4572,-4.9169,91.08,45,70,10.25,1628879203
106,Mehamn,NO,71.0357,27.8492,51.98,92,94,13.4,1628879204
107,Bozeman,US,45.6796,-111.0386,75.69,35,1,4.61,1628878948
108,Alice Springs,AU,-23.7,133.8833,40.55,42,1,4.61,1628878976
109,Albany,US,42.6001,-73.9662,91.76,60,54,4.0,1628879204
110,Rawson,AR,-43.3002,-65.1023,65.37,21,0,9.73,1628879204
111,Salinópolis,BR,-0.6136,-47.3561,81.45,83,60,14.5,1628879205
112,Kumul,CN,42.8,93.45,87.3,20,82,13.04,1628879205
113,Berlevåg,NO,70.8578,29.0864,52.07,94,99,8.03,1628879205
114,Igrim,RU,63.1906,64.4162,62.91,64,97,6.02,1628879206
115,Dikson,RU,73.5069,80.5464,44.1,100,100,2.68,1628879206
116,Tambura,SS,5.6,27.4667,70.41,92,74,4.92,1628879206
117,La Rioja,ES,42.25,-2.5,87.58,31,3,5.75,1628879207
118,Tuatapere,NZ,-46.1333,167.6833,42.82,84,84,17.9,1628879207
119,Manta,EC,-0.95,-80.7333,73.18,88,90,8.05,1628879208
120,Derzhavīnsk,KZ,51.1,66.3167,59.76,48,36,8.08,1628879208
121,Pangnirtung,CA,66.1451,-65.7125,53.6,87,75,6.91,1628879208
122,Hobyo,SO,5.3505,48.5268,76.73,86,92,26.24,1628879208
123,Avarua,CK,-21.2078,-159.775,68.05,94,90,3.44,1628879093
124,Karpathos,GR,35.507,27.2132,78.76,89,0,23.02,1628879209
125,Centerville,US,39.6284,-84.1594,91.38,61,20,5.99,1628879209
126,Faanui,PF,-16.4833,-151.75,78.48,69,65,10.63,1628879209
127,Vostok,RU,46.4856,135.8833,56.43,71,90,2.8,1628879210
128,Teleneşti,MD,47.4997,28.3656,72.09,51,21,2.01,1628879210
129,Naryan-Mar,RU,67.6713,53.087,58.73,99,100,7.83,1628879210
130,Ngunguru,NZ,-35.6167,174.5,48.16,84,54,8.03,1628879211
131,Pacific Grove,US,36.6177,-121.9166,85.8,82,1,1.99,1628879211
132,Rassvet,RU,46.8333,40.75,74.17,88,100,2.46,1628879211
133,Naze,JP,28.3667,129.4833,78.06,87,69,19.13,1628879086
134,Geraldton,AU,-28.7667,114.6,45.01,93,0,8.05,1628879212
135,Port Elizabeth,ZA,-33.918,25.5701,50.29,66,20,3.44,1628879212
136,Hasaki,JP,35.7333,140.8333,77.4,92,100,27.54,1628879212
137,Khovd,MN,48.0056,91.6419,63.32,56,93,5.01,1628879212
138,Bac Lieu,VN,9.285,105.7244,79.99,85,100,6.87,1628879213
139,Mossamedes,AO,-15.1961,12.1522,63.0,86,32,7.23,1628879213
140,Shirokiy,RU,49.758,129.523,58.46,87,68,3.83,1628879213
141,Buchanan,LR,5.8808,-10.0467,80.56,75,100,12.64,1628879214
142,Provideniya,RU,64.3833,-173.3,44.24,79,100,6.46,1628879214
143,Batemans Bay,AU,-35.7167,150.1833,42.91,75,0,4.65,1628879214
144,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,11.5,1628879214
145,Uglovka,RU,58.2392,33.5108,58.01,86,33,6.58,1628879215
146,Barrow,US,71.2906,-156.7887,37.42,87,90,11.5,1628879215
147,Tasiilaq,GL,65.6145,-37.6368,53.76,64,91,7.43,1628879215
148,Nikolskoye,RU,59.7035,30.7861,67.01,74,0,5.48,1628879216
149,Preeceville,CA,51.95,-102.6677,73.0,32,48,12.53,1628879216
150,Torbay,CA,47.6666,-52.7314,71.28,86,75,17.27,1628879216
151,Kidal,ML,18.4411,1.4078,97.38,26,59,1.48,1628879169
152,Vodnyy,RU,63.5046,53.4095,74.59,56,58,12.26,1628879217
153,Yuancheng,CN,36.652,107.7896,64.53,86,48,6.91,1628879217
154,Tocopilla,CL,-22.092,-70.1979,66.04,65,12,10.83,1628879217
155,Punta Umbría,ES,37.1821,-6.9661,81.86,61,14,6.24,1628879217
156,Kushima,JP,31.4583,131.2333,77.81,92,100,8.55,1628879218
157,Margate,GB,51.3813,1.3862,70.92,72,81,1.99,1628879218
158,Cockburn Town,TC,21.4612,-71.1419,82.92,77,100,18.3,1628879218
159,Shemgang,BT,27.2169,90.6579,61.65,97,100,2.8,1628879219
160,Lashio,MM,22.9333,97.75,69.64,99,100,1.32,1628879219
161,‘Ewa Beach,US,21.3156,-158.0072,82.35,70,1,3.44,1628879070
162,Oceanside,US,33.1959,-117.3795,98.02,53,1,5.01,1628879219
163,Yumen,CN,40.2833,97.2,76.68,21,32,8.75,1628879220
164,Aklavik,CA,68.2191,-135.0107,43.63,87,90,5.75,1628879220
165,Port-Gentil,GA,-0.7193,8.7815,78.76,83,90,9.22,1628879220
166,Mlowo,TZ,-9.0,32.9833,59.63,63,2,5.06,1628879220
167,New Norfolk,AU,-42.7826,147.0587,45.72,70,60,1.01,1628879221
168,Cherskiy,RU,68.75,161.3,51.62,94,93,8.41,1628879221
169,Upernavik,GL,72.7868,-56.1549,43.57,92,100,9.01,1628879221
170,Ranong,TH,9.9658,98.6348,79.45,88,100,10.29,1628879222
171,Isla Mujeres,MX,21.2311,-86.731,91.45,65,3,9.4,1628879222
172,Pevek,RU,69.7008,170.3133,37.94,99,100,11.7,1628879222
173,Saskylakh,RU,71.9167,114.0833,48.15,73,99,7.61,1628879223
174,Shubarkuduk,KZ,49.1447,56.4872,71.33,22,76,8.19,1628879223
175,Baker City,US,44.7749,-117.8344,84.16,29,20,0.0,1628879223
176,Bereda,ES,43.2686,-7.5406,76.41,84,0,6.13,1628879223
177,Strezhevoy,RU,60.7333,77.5889,57.18,71,80,3.91,1628879224
178,Bengkulu,ID,-3.8004,102.2655,75.76,90,55,4.54,1628879224
179,Marawi,PH,7.9986,124.2928,66.65,93,100,2.59,1628879224
180,Jalu,LY,29.0331,21.5482,95.85,23,0,15.14,1628879224
181,Gela,IT,37.0803,14.2307,87.58,89,0,3.44,1628879225
182,Freeport,US,40.6576,-73.5832,99.3,55,1,7.0,1628879179
183,Tura,IN,25.5198,90.2201,75.02,98,100,4.79,1628879225
184,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,1628879226
185,Port Macquarie,AU,-31.4333,152.9167,49.96,100,75,2.3,1628879226
186,Chopovychi,UA,50.8332,28.9533,64.74,59,4,5.66,1628879226
187,Alikovo,RU,55.7383,46.7549,67.87,88,100,7.92,1628879226
188,Chiredzi,ZW,-21.05,31.6667,62.29,74,97,13.58,1628879227
189,Celestún,MX,20.8667,-90.4,87.22,61,21,12.17,1628879227
190,Verāval,IN,20.9,70.3667,81.34,80,100,13.09,1628879227
191,Talnakh,RU,69.4865,88.3972,54.63,76,100,6.22,1628879228
192,Esso,RU,55.9333,158.7,53.74,94,66,3.22,1628879228
193,Iqaluit,CA,63.7506,-68.5145,42.53,100,75,11.5,1628879228
194,Cabo San Lucas,MX,22.8909,-109.9124,91.62,71,40,4.0,1628879107
195,Padang,ID,-0.9492,100.3543,77.36,88,72,3.22,1628879229
196,Les Cayes,HT,18.2,-73.75,85.03,72,98,8.52,1628879229
197,Chibombo,ZM,-14.6569,28.0706,67.82,24,0,7.4,1628879229
198,Lompoc,US,34.6391,-120.4579,89.22,58,1,3.44,1628879229
199,Tadotsu,JP,34.275,133.75,77.38,88,100,7.11,1628879230
200,Vila Franca do Campo,PT,37.7167,-25.4333,77.41,69,4,9.73,1628879230
201,Kruisfontein,ZA,-34.0033,24.7314,46.89,82,14,4.5,1628879230
202,Medowie,AU,-32.7333,151.8667,55.69,98,40,8.05,1628879231
203,Ariquemes,BR,-9.9133,-63.0408,100.22,19,42,3.4,1628878934
204,Mezen',RU,65.8522,44.24,62.01,99,100,5.53,1628879231
205,East Kilbride,GB,55.7667,-4.1667,61.47,74,19,5.01,1628879062
206,Misratah,LY,32.3754,15.0925,83.95,66,0,9.69,1628879231
207,Ostrów Mazowiecka,PL,52.8024,21.8951,67.62,68,72,7.61,1628879232
208,Deputatsky,RU,69.3,139.9,43.86,91,98,5.12,1628879232
209,Gaoual,GN,11.75,-13.2,77.85,89,100,5.5,1628879232
210,Baiyin,CN,36.5583,104.2081,65.28,52,78,4.14,1628879232
211,Iberia,US,29.9502,-91.7507,88.99,83,20,3.44,1628879233
212,Mahébourg,MU,-20.4081,57.7,68.25,88,20,6.91,1628879233
213,Santiago,CL,-33.4569,-70.6483,60.24,43,0,4.61,1628879153
214,Mosquera,CO,4.7059,-74.2302,60.89,67,75,8.05,1628879234
215,Camacha,PT,33.0833,-16.3333,72.36,73,40,14.97,1628879234
216,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,19,5.77,1628879234
217,Beckley,US,37.7782,-81.1882,87.06,62,20,1.99,1628879234
218,Pendências,BR,-5.26,-36.7222,86.88,53,47,17.11,1628879235
219,Aquidauana,BR,-20.4711,-55.7872,90.48,28,32,3.47,1628879235
220,Thoen,TH,17.6129,99.2161,76.89,97,100,2.8,1628879235
221,Katsuura,JP,35.1333,140.3,78.91,91,100,27.18,1628879236
222,Squinzano,IT,40.4365,18.0418,89.74,50,0,7.81,1628879236
223,Faya,SA,18.3851,42.4509,71.71,49,84,3.96,1628879236
224,Nouakchott,MR,18.0858,-15.9785,85.93,68,41,16.89,1628879236
225,North Bend,US,43.4065,-124.2243,70.92,77,1,10.36,1628879237
226,Kosh-Agach,RU,50.0,88.6667,48.88,80,84,5.1,1628879237
227,Byron Bay,AU,-28.65,153.6167,58.87,93,26,8.21,1628879083
228,Kurtamysh,RU,54.9103,64.4319,59.47,50,82,1.14,1628879237
229,Sovetskiy,RU,61.3614,63.5842,60.94,68,60,5.86,1628879238
230,Guaporé,BR,-28.8456,-51.8903,64.13,76,77,4.09,1628879238
231,Jacksonville,US,30.3322,-81.6556,94.98,64,75,1.01,1628879215
232,Ranau,MY,5.9538,116.6641,70.45,96,100,0.92,1628879238
233,Launceston,AU,-41.45,147.1667,42.44,85,21,1.99,1628879239
234,Oodweyne,SO,9.4092,45.064,85.01,32,86,13.67,1628879239
235,Malanville,BJ,11.8685,3.3899,74.79,90,100,6.38,1628879239
236,Pingzhuang,CN,42.0372,119.2889,60.42,78,8,2.06,1628879240
237,Roald,NO,62.5833,6.1333,64.17,82,75,9.22,1628879240
238,Liuzhou,CN,24.3126,109.3892,80.4,85,100,6.96,1628879200
239,Kavieng,PG,-2.5744,150.7967,81.37,78,100,10.83,1628879240
240,Guerrero Negro,MX,27.9769,-114.0611,83.37,63,2,9.89,1628879241
241,Hanumāngarh,IN,29.5833,74.3167,95.36,31,74,9.04,1628879241
242,Coquimbo,CL,-29.9533,-71.3436,55.13,71,20,11.5,1628879241
243,Kahului,US,20.8947,-156.47,78.82,86,40,9.22,1628879241
244,Ubari,LY,26.5921,12.7805,98.17,13,0,15.23,1628879242
245,Egvekinot,RU,66.3167,-179.1667,41.09,94,90,6.69,1628879242
246,Mount Gambier,AU,-37.8333,140.7667,46.31,100,75,8.05,1628879221
247,Popondetta,PG,-8.7537,148.2534,72.09,97,100,2.15,1628879242
248,Molina,CL,-35.1167,-71.2833,51.53,62,0,8.05,1628879243
249,Port Blair,IN,11.6667,92.75,82.31,81,100,14.76,1628879243
250,Shangrao,CN,28.4532,117.9686,77.99,93,100,1.25,1628879243
251,Cascas,PE,-7.4833,-78.8167,87.58,42,93,11.36,1628879244
252,Panama City,PA,8.9936,-79.5197,84.15,89,40,8.05,1628879244
253,Lishui,CN,28.4604,119.9103,77.52,96,100,1.77,1628879244
254,Constitución,CL,-35.3333,-72.4167,56.34,66,6,8.81,1628879245
255,Manassas,US,38.751,-77.4753,99.91,46,33,3.0,1628879027
256,Beloha,MG,-25.1667,45.05,67.35,84,23,14.54,1628879245
257,Muros,ES,42.7762,-9.0603,83.14,53,6,11.05,1628879245
258,Māngrol,IN,21.1167,70.1167,81.23,80,100,14.09,1628879246
259,Micheweni,TZ,-4.9667,39.8333,76.01,83,20,13.94,1628879246
260,Anchorage,US,61.2181,-149.9003,57.85,93,90,3.44,1628879073
261,Port-Cartier,CA,50.0334,-66.8654,72.93,65,63,6.08,1628879246
262,Kenai,US,60.5544,-151.2583,58.14,80,40,4.61,1628879246
263,Krasnosel'kup,RU,65.7,82.4667,55.62,92,100,7.52,1628879247
264,Dodge City,US,37.7528,-100.0171,78.26,77,20,3.0,1628879247
265,Saint Anthony,US,45.0205,-93.218,79.11,34,1,1.01,1628879247
266,Ternate,ID,0.8,127.4,79.83,80,100,2.98,1628879248
267,Rengāli,IN,21.6333,84.05,82.58,72,100,3.38,1628879248
268,Flinders,AU,-34.5833,150.8552,49.05,79,0,1.99,1628879248
269,Piaçabuçu,BR,-10.4056,-36.4344,77.34,69,16,10.87,1628879249
270,Bathsheba,BB,13.2167,-59.5167,88.41,74,40,16.11,1628879249
271,Labytnangi,RU,66.6572,66.4183,59.94,93,100,2.95,1628879249
272,Kavaratti,IN,10.5669,72.642,81.68,75,88,19.06,1628879249
273,Stykkisholmur,IS,65.0757,-22.7297,57.07,76,37,8.77,1628879250
274,Mahibadhoo,MV,3.7833,72.9667,82.9,69,82,16.26,1628879250
275,Mar del Plata,AR,-38.0023,-57.5575,53.62,54,0,10.36,1628879250
276,Saint-Pierre,RE,-21.3393,55.4781,71.24,80,0,5.75,1628879251
277,Lake Shasta,US,40.6804,-122.3708,86.16,19,3,3.76,1628879251
278,Corinth,GR,37.9407,22.9573,88.41,40,0,4.12,1628879247
279,Iralaya,HN,15.0,-83.2333,87.89,68,100,7.31,1628879251
280,Taltal,CL,-25.4,-70.4833,63.18,60,4,8.14,1628879251
281,Ondo,NG,7.1,4.8333,71.83,98,97,3.42,1628879252
282,Necochea,AR,-38.5473,-58.7368,62.04,42,0,9.48,1628879252
283,Pingliang,CN,35.5392,106.6861,59.58,93,37,3.24,1628879252
284,Nome,US,64.5011,-165.4064,42.87,70,90,5.75,1628879252
285,Havre-St-Pierre,CA,50.2334,-63.5986,75.56,78,75,8.05,1628879253
286,Arrondissement du Havre,FR,49.5833,0.3333,72.48,77,0,4.61,1628879253
287,Dwārka,IN,22.2394,68.9678,81.39,78,100,15.55,1628879253
288,Syracuse,IT,37.0881,15.2792,87.39,65,2,9.75,1628879254
289,Nhulunbuy,AU,-12.2333,136.7667,75.81,83,75,8.05,1628879254
290,Arraial do Cabo,BR,-22.9661,-42.0278,67.86,83,75,13.8,1628879254
291,Ust-Maya,RU,60.4167,134.5333,62.6,72,61,2.24,1628879255
292,Auki,SB,-8.7676,160.7034,75.85,89,84,4.79,1628879255
293,Zhangdian,CN,34.2,119.3,70.34,94,99,4.68,1628879255
294,Yulara,AU,-25.2406,130.9889,49.84,34,0,6.91,1628879255
295,College,US,64.8569,-147.8028,55.72,87,75,0.0,1628879064
296,Black River,JM,18.0264,-77.8487,86.0,58,83,13.44,1628879256
297,Fare,PF,-16.7,-151.0167,78.69,69,73,14.36,1628879256
298,Vao,NC,-22.6667,167.4833,65.91,62,81,16.2,1628879256
299,Christchurch,NZ,-43.5333,172.6333,45.48,100,9,5.75,1628879257
300,San José Iturbide,MX,21.0,-100.3833,75.6,53,45,5.82,1628879257
301,Hope,US,33.6671,-93.5916,94.35,41,7,4.25,1628879257
302,Simpang,ID,-1.2667,104.0833,73.94,94,80,3.24,1628879258
303,Raton,US,36.9034,-104.4391,79.05,50,20,4.61,1628879258
304,Frânceşti,RO,45.0,24.1,71.83,47,21,2.55,1628879258
305,San Quintín,MX,30.4833,-115.95,79.66,56,6,12.53,1628879258
306,Dalby,AU,-27.1833,151.2667,50.7,78,90,3.58,1628879259
307,Kishtwār,IN,33.3167,75.7667,64.87,92,36,2.15,1628879259
308,Manoel Urbano,BR,-8.8389,-69.2597,96.93,24,9,2.64,1628879259
309,Sol'-Iletsk,RU,51.1631,54.9918,66.15,28,31,4.9,1628879260
310,Posse,BR,-14.0931,-46.3694,87.94,16,4,7.49,1628879260
311,Port Hardy,CA,50.6996,-127.4199,66.38,77,20,3.44,1628879260
312,Dutlwe,BW,-23.9833,23.9,62.51,24,5,6.29,1628879260
313,Vila Velha,BR,-20.3297,-40.2925,78.75,61,0,11.5,1628878965
314,Sitka,US,57.0531,-135.33,62.49,82,90,21.85,1628879261
315,Kakonko,TZ,-3.2828,30.9642,75.07,49,89,4.12,1628879261
316,Ayagoz,KZ,47.9714,80.4392,57.72,78,91,14.72,1628879261
317,Raja,SS,8.4596,25.678,75.49,79,94,5.35,1628879262
318,Arrondissement de Lannion,FR,48.75,-3.4167,66.15,77,0,5.75,1628879262
319,Udachny,RU,66.4167,112.4,47.75,82,83,8.5,1628879262
320,Aykhal,RU,66.0,111.5,45.19,91,73,7.87,1628879263
321,Hengyang,CN,26.8881,112.615,72.81,95,100,7.34,1628879263
322,Kangaatsiaq,GL,68.3065,-53.4641,44.92,87,100,2.77,1628879263
323,West Richland,US,46.3043,-119.3614,94.57,28,1,3.44,1628879185
324,San Policarpo,PH,12.1791,125.5072,78.49,86,68,2.46,1628879264
325,Āwash,ET,8.9833,40.1667,82.62,48,70,3.47,1628879264
326,Airai,TL,-8.9266,125.4092,56.03,54,6,3.44,1628879264
327,Lapeer,US,43.0514,-83.3188,83.75,54,40,6.91,1628879264
328,Laguna,US,38.421,-121.4238,99.64,51,1,3.44,1628879062
329,Jos,NG,9.9167,8.9,65.1,96,89,5.3,1628879265
330,Honiara,SB,-9.4333,159.95,76.78,88,84,4.5,1628879265
331,Yangi Marg`ilon,UZ,40.4272,71.7189,83.12,21,52,23.02,1628879265
332,Bodden Town,KY,19.2833,-81.25,87.8,70,40,2.3,1628879266
333,Monte Alegre,BR,-2.0078,-54.0692,93.11,44,90,6.22,1628879266
334,Jatāra,IN,25.0167,79.05,81.36,75,100,8.1,1628879266
335,Bubaque,GW,11.2833,-15.8333,79.54,81,100,11.61,1628879266
336,Srandakan,ID,-7.9386,110.2506,76.15,87,54,5.79,1628879267
337,Erzurum Province,TR,40.0,41.5,58.68,75,69,7.27,1628879267
338,Shimoda,JP,34.6667,138.95,78.91,92,100,23.78,1628879267
339,Half Moon Bay,US,37.4636,-122.4286,86.14,65,20,1.01,1628879268
340,Halifax,CA,44.6453,-63.5724,87.53,73,45,3.0,1628879208
341,Nouadhibou,MR,20.931,-17.0347,75.18,73,2,20.71,1628879268
342,Ismailia,EG,30.6043,32.2723,84.07,50,1,10.92,1628879268
343,Jutaí,BR,-5.1833,-68.9,97.47,27,48,3.58,1628879269
344,Aswān,EG,24.0934,32.907,97.0,13,3,9.33,1628879269
345,Kawalu,ID,-7.3817,108.2082,71.56,96,94,2.04,1628879269
346,Turbat,PK,26.0023,63.044,82.27,72,2,5.77,1628879270
347,Borogontsy,RU,62.6683,131.1683,58.21,60,56,3.31,1628879270
348,Volot,RU,57.9278,30.7025,60.01,79,58,6.33,1628879270
349,Fortuna,US,40.5982,-124.1573,66.97,81,1,11.5,1628879271
350,Bisira,PA,8.5196,-81.7115,68.22,79,99,2.08,1628879271
351,Vágur,FO,61.4732,-6.8119,52.9,88,50,13.98,1628879271
352,Mandalgovi,MN,45.7625,106.2708,61.36,64,5,3.87,1628879272
353,Vuktyl,RU,63.8567,57.3094,70.2,55,81,11.99,1628879272
354,Arcata,US,40.8665,-124.0828,67.24,79,1,4.0,1628879272
355,Qandala,SO,11.472,49.8728,89.13,51,12,5.23,1628879272
356,Norwich,GB,52.6278,1.2983,71.47,63,20,12.66,1628879035
357,Kīhei,US,20.785,-156.4656,78.82,87,40,9.22,1628879273
